"","Datetime","AQI","PM2.5","PM10","SO2","CO","NO2","O3_8h","kmean"
"265",2016-06-21,110,47,75,12,0.8,51,171,1
"266",2016-06-22,63,37,56,10,0.8,50,79,4
"267",2016-06-23,119,55,78,12,0.8,43,180,1
"268",2016-06-24,68,40,69,12,0.7,32,121,4
"269",2016-06-25,58,41,43,7,0.8,44,101,2
"270",2016-06-26,88,33,32,7,0.6,22,145,2
"271",2016-06-27,73,30,42,7,0.8,45,127,2
"272",2016-06-28,85,63,68,10,1.3,67,65,4
"273",2016-06-29,52,30,38,9,0.8,41,59,2
"274",2016-06-30,110,34,59,11,0.7,34,170,1
"275",2016-07-01,58,30,53,11,0.8,38,109,2
"276",2016-07-02,52,19,36,10,0.8,41,69,2
"277",2016-07-03,74,54,74,11,0.9,42,109,4
"278",2016-07-04,93,36,48,11,0.7,28,151,1
"279",2016-07-05,87,23,42,10,0.7,33,144,2
"280",2016-07-06,47,22,45,9,0.6,30,94,2
"281",2016-07-07,32,12,32,8,0.5,16,48,2
"282",2016-07-08,24,9,24,10,0.5,16,47,2
"283",2016-07-09,27,11,27,9,0.5,16,52,2
"284",2016-07-10,30,15,30,8,0.6,21,55,2
"285",2016-07-11,37,23,35,7,0.6,29,71,2
"286",2016-07-12,129,60,87,10,0.9,37,191,1
"287",2016-07-13,150,58,87,10,1,50,214,1
"288",2016-07-14,88,53,64,9,1.2,70,49,4
"289",2016-07-15,129,54,72,10,1,49,191,1
"290",2016-07-16,92,65,93,9,1,36,150,1
"291",2016-07-17,102,76,77,9,0.9,28,162,1
"292",2016-07-18,81,31,50,8,0.6,21,137,2
"293",2016-07-19,100,31,54,9,0.6,23,159,1
"294",2016-07-20,140,39,70,11,0.7,25,203,1
"295",2016-07-21,161,43,69,14,0.8,33,226,1
"296",2016-07-22,169,47,77,14,0.8,35,234,1
"297",2016-07-23,137,44,77,13,0.8,29,200,1
"298",2016-07-24,117,40,64,11,0.7,21,178,1
"299",2016-07-25,91,23,42,10,0.6,17,149,2
"300",2016-07-26,168,37,63,12,0.7,25,233,1
"301",2016-07-27,128,47,80,12,0.9,39,190,1
"302",2016-07-28,136,66,99,12,1,52,199,1
"303",2016-07-29,156,71,93,11,0.9,34,221,1
"304",2016-07-30,70,35,45,8,0.6,14,124,2
"305",2016-07-31,38,14,28,9,0.4,11,75,2
"306",2016-08-01,32,14,29,10,0.5,13,64,2
"307",2016-08-02,57,16,36,10,0.6,18,108,2
"308",2016-08-03,50,18,37,9,0.7,40,58,2
"309",2016-08-04,62,26,39,13,0.7,49,99,2
"310",2016-08-05,41,20,32,9,0.6,24,81,2
"311",2016-08-06,39,16,28,10,0.6,18,78,2
"312",2016-08-07,42,9,22,9,0.5,14,83,2
"313",2016-08-08,33,9,20,10,0.5,18,65,2
"314",2016-08-09,26,10,25,9,0.5,17,51,2
"315",2016-08-10,31,10,23,8,0.5,16,61,2
"316",2016-08-11,30,15,27,10,0.5,16,59,2
"317",2016-08-12,27,13,25,9,0.6,15,54,2
"318",2016-08-13,35,16,30,9,0.6,14,70,2
"319",2016-08-14,65,22,36,10,0.7,16,117,2
"320",2016-08-15,55,14,29,9,0.7,15,105,2
"321",2016-08-16,48,18,31,12,0.7,19,96,2
"322",2016-08-17,44,18,33,11,0.7,20,87,2
"323",2016-08-18,52,17,36,11,0.7,17,102,2
"324",2016-08-19,80,20,38,10,0.7,24,135,2
"325",2016-08-20,96,29,48,11,0.7,28,155,1
"326",2016-08-21,44,25,37,11,0.7,19,87,2
"327",2016-08-22,70,22,35,11,0.7,19,124,2
"328",2016-08-23,84,20,34,11,0.7,20,140,2
"329",2016-08-24,86,18,35,11,0.7,23,143,2
"330",2016-08-25,67,24,39,12,0.7,24,120,2
"331",2016-08-26,57,18,36,10,0.7,16,108,2
"332",2016-08-27,60,17,43,13,0.7,25,111,2
"333",2016-08-28,105,22,54,16,0.8,24,165,1
"334",2016-08-29,90,23,48,14,0.8,32,148,1
"335",2016-08-30,94,30,64,19,0.9,45,152,1
"336",2016-08-31,135,38,76,17,0.9,49,198,1
"337",2016-09-01,140,63,95,16,1,37,204,1
"338",2016-09-02,163,68,97,16,1.1,42,228,1
"339",2016-09-03,113,66,82,14,0.9,33,174,1
"340",2016-09-04,65,32,42,11,0.7,18,117,2
"341",2016-09-05,67,28,42,13,0.8,28,120,2
"342",2016-09-06,64,40,63,16,0.8,51,111,4
"343",2016-09-07,63,35,42,10,0.8,50,98,4
"344",2016-09-08,116,69,77,14,1,63,177,1
"345",2016-09-09,116,66,64,13,1,51,177,1
"346",2016-09-10,80,48,57,12,0.8,31,135,1
"347",2016-09-11,65,47,57,11,0.8,44,106,4
"348",2016-09-12,74,35,46,11,0.7,32,128,2
"349",2016-09-13,74,30,37,11,0.7,29,128,2
"350",2016-09-14,49,17,25,10,0.7,39,90,2
"351",2016-09-15,33,7,10,10,0.6,21,66,2
"352",2016-09-16,23,8,16,10,0.6,18,40,2
"353",2016-09-17,38,13,23,11,0.6,20,75,2
"354",2016-09-18,53,31,55,12,0.7,18,98,2
